set,n,result,instance,D,runtime,seed
BBGRL,1000,1,1000_ep0.01_0_gilbert_9.in,8,11.1907,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_9.in,9,11.2013,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_9.in,10,10.9903,1.50371E+18
BBGRL,1000,991,1000_ep0.0075_0_gilbert_6.in,1,62.9075,1.50371E+18
BBGRL,1000,981,1000_ep0.0075_0_gilbert_6.in,2,167.2401,1.50371E+18
BBGRL,1000,974,1000_ep0.0075_0_gilbert_6.in,3,167.8466,1.50371E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,4,8.0069,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,5,8.0978,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,6,7.9866,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,7,7.5742,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,8,7.7045,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,9,7.3633,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_6.in,10,7.604,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,1,5.478,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,2,5.5646,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,3,6.1736,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,4,5.7595,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,5,6.3686,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,6,6.5674,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,7,6.3668,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,8,6.3378,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,9,6.692,1.50372E+18
